RandNum1,RandNum2,RandNum3,RandNum4,LogicTest
40.49235431,6.631705081,8.101489336,0.614237941,FALSE
48.23083131,0.556494451,0.344795508,0.816241088,FALSE
22.83581414,8.967333265,3.357907217,0.86143886,FALSE
71.47882915,5.072966636,4.421884,0.27862635,FALSE
21.35467468,6.406075142,8.37381922,0.121005564,FALSE
64.96029711,9.331129284,8.175925909,0.37883514,FALSE
29.40482012,5.793857256,4.554932037,0.811446804,FALSE
86.01644411,9.611115102,8.621493749,0.714470111,FALSE
69.34994676,6.983006196,7.649042849,0.090980767,FALSE
70.73792563,7.408026971,6.499043832,0.511498788,FALSE
4.339696759,2.154379063,2.634764109,0.890851389,FALSE
20.91970987,1.738979064,0.469268111,0.709196162,FALSE
4.49380042,2.465734558,6.644831822,0.188486489,FALSE
63.41022509,5.202900364,4.996529624,0.654301015,FALSE
62.38418371,0.219580468,4.059914369,0.727612114,TRUE
93.97310269,8.262199381,2.779846789,0.581731901,FALSE
27.36299575,9.549589667,3.249531374,0.577408587,FALSE
44.48376375,2.315952293,3.69166133,0.163590732,FALSE
71.80320018,9.80860471,8.877119171,0.123926347,FALSE
94.07318254,3.759249338,2.687191387,0.109186118,FALSE
37.12292849,9.969286428,7.947360738,0.983893805,FALSE
11.92869557,4.311976975,0.060976842,0.205789641,FALSE
65.69477614,8.954372482,7.681209776,0.076711446,FALSE
21.15509881,9.742152582,7.904064878,0.456609805,FALSE
91.11023153,8.248739416,3.961776128,0.250870278,FALSE
26.27717503,9.836506366,0.242868405,0.88417855,FALSE
16.62450096,8.976021965,4.912431215,0.307496523,FALSE
85.56881811,9.999309563,0.356456297,0.228026748,FALSE
44.70222048,5.829178746,3.554245624,0.527767734,FALSE
1.349729403,9.212664034,7.547770631,0.491806017,FALSE
1.600399957,5.382606674,7.570334301,0.271757903,FALSE
93.53200229,6.143931625,4.837866019,0.753507701,FALSE
42.08153653,6.817002983,4.186832999,0.150965597,FALSE
87.7059178,2.964883676,3.362919098,0.352976164,TRUE
91.96329002,9.725665426,0.508911541,0.26354426,FALSE
69.2032207,3.762106669,5.594497742,0.959621938,TRUE
44.8009534,2.494188242,8.940705235,0.917269552,TRUE
35.41966121,4.111823728,9.595423084,0.836089286,FALSE
36.4846207,2.390129056,2.296437255,0.810162837,FALSE
45.64816988,9.445882211,0.082883127,0.830377767,FALSE
36.96132305,2.916666216,7.062368757,0.42071174,FALSE
9.613940049,0.206654988,0.507651842,0.118114429,TRUE
59.12971723,8.772060255,2.838423187,0.815825074,FALSE
63.79015944,5.049789118,0.997363773,0.276965142,FALSE
32.03338111,1.604550348,4.358662452,0.135890833,FALSE
60.02520656,7.073676642,5.405408034,0.014901971,FALSE
